Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm_recq5-1-negctrl-c13-w25_	poor	21	16	25.00%	0.00%	0.00%	0	NA	63.00%	77	NA	0.00%	0.00%	0
blm_recq5-1-negctrl-c14-w25_	poor	69	40	25.00%	0.00%	0.00%	0	NA	40.00%	58	NA	0.00%	0.00%	0
blm_recq5-1-single-c13-w1_	poor	913871	835396	11.70%	1.80%	29.40%	121	59.40%	46.00%	152	0.23	0.00%	2.00%	0
blm_recq5-1-single-c13-w10_	poor	60587	55570	9.90%	0.10%	2.70%	8	11.10%	43.00%	157	>=2	0.00%	0.20%	0
blm_recq5-1-single-c13-w11_	poor	60457	55312	12.70%	0.10%	6.70%	8	14.80%	49.00%	152	>=2	0.00%	0.20%	0
blm_recq5-1-single-c13-w12_	poor	153165	139794	11.30%	0.30%	3.00%	20	3.30%	43.00%	151	>=2	0.00%	0.70%	0
blm_recq5-1-single-c13-w13_	poor	52443	47898	13.80%	0.10%	2.90%	6	16.00%	48.00%	151	>=2	0.00%	0.00%	0
blm_recq5-1-single-c13-w14_	poor	78029	71184	15.30%	0.10%	3.40%	9	14.80%	46.00%	154	>=2	0.00%	0.10%	0
blm_recq5-1-single-c13-w15_	poor	92370	84548	10.30%	0.20%	5.90%	12	19.20%	46.00%	153	>=2	0.00%	0.20%	0
blm_recq5-1-single-c13-w16_	poor	42568	38696	12.00%	0.10%	1.80%	5	4.30%	47.00%	156	NA	0.00%	0.00%	0
blm_recq5-1-single-c13-w17_	poor	36723	33872	6.60%	0.10%	4.70%	5	14.30%	45.00%	154	>=2	0.00%	0.10%	0
blm_recq5-1-single-c13-w18_	poor	225044	206174	10.70%	0.40%	4.80%	30	16.30%	41.00%	150	0.82	0.00%	0.40%	0
blm_recq5-1-single-c13-w19_	poor	72320	65772	15.00%	0.10%	4.30%	9	7.40%	49.00%	154	>=2	0.00%	0.10%	0
blm_recq5-1-single-c13-w2_	poor	883146	806808	11.40%	1.70%	36.20%	115	57.10%	46.00%	151	0.23	0.00%	1.10%	0
blm_recq5-1-single-c13-w20_	poor	68829	62698	11.90%	0.10%	2.00%	9	7.10%	46.00%	151	>=2	0.00%	0.10%	0
blm_recq5-1-single-c13-w21_	poor	95484	86900	12.60%	0.20%	3.00%	12	14.30%	45.00%	151	>=2	0.00%	0.20%	0
blm_recq5-1-single-c13-w22_	poor	101693	93162	13.10%	0.20%	30.00%	11	11.10%	50.00%	153	>=2	0.00%	0.10%	0
blm_recq5-1-single-c13-w23_	poor	64968	59164	12.80%	0.10%	2.30%	8	8.00%	46.00%	152	>=2	0.00%	0.00%	0
